Generation,Best,Average,Worst
0,4466.619894700373,5031.369321068119,5596.118747435864
1,3849.237956374861,4343.139324269241,4837.040692163621
2,3454.725824633662,3920.6434461082654,4386.561067582868
3,3250.6666303283782,3669.492400748448,4088.3181711685174
4,3019.419709367535,3475.2510094574673,3931.0823095474
5,2843.316206301529,3373.841971464197,3904.367736626865
6,2701.511983013347,3149.8394664430125,3598.1669498726774
7,2632.5656906277404,3078.4883183154006,3524.410946003061
8,2576.624769388394,3051.9298080784392,3527.2348467684847
9,2507.558760821901,3040.5705791031746,3573.582397384448
10,2467.919349521781,2958.525625433297,3449.1319013448137
11,2347.361473770838,2854.691152468309,3362.0208311657802
12,2336.676326036833,2885.1110801209907,3433.545834205148
13,2267.259834994991,2773.1592327740946,3279.058630553198
14,2257.550103472634,2709.6662036040575,3161.782303735481
15,2242.3410091187106,2717.9333640171712,3193.525718915632
16,2195.0550042005084,2625.7074138955154,3056.3598235905224
17,2136.5144935661556,2567.006116762765,2997.4977399593745
18,2134.571116534686,2588.2455412047602,3041.919965874835
19,2108.8675868237847,2613.6007358911365,3118.3338849584884
20,2075.602906197919,2455.9873020256655,2836.3716978534126
21,2030.8851240705383,2523.6896709874272,3016.4942179043164
22,2014.162167191725,2611.750590221979,3209.3390132522336
23,1991.3507653853167,2708.6911878868987,3426.031610388481
24,1981.8192032158784,2640.0919970726645,3298.3647909294505
25,1933.8809088428702,2399.8193085906123,2865.757708338355
26,1933.8809088428702,2394.425917387428,2854.970925931985
27,1904.6478121386588,2421.3438097884805,2938.0398074383024
28,1867.838230104011,2464.356239182376,3060.8742482607413
29,1857.1485492792267,2367.713177481693,2878.2778056841594
30,1844.5014803754307,2369.5640383048053,2894.62659623418
31,1790.8794870345478,2495.1162135785853,3199.3529401226224
32,1790.8794870345478,2309.2776140523974,2827.6757410702476
33,1721.7078416178156,2237.98365350333,2754.2594653888445
34,1721.7078416178156,2223.135862040176,2724.563882462536
35,1716.983169540846,2218.7254193456415,2720.4676691504374
36,1711.594743366704,2272.6863901005604,2833.7780368344165
37,1704.3819610261794,2231.5353510316227,2758.688741037066
38,1704.3819610261794,2278.3511492517255,2852.3203374772716
39,1704.3819610261794,2212.923781674872,2721.4656023235643
40,1691.954562433276,2202.771680649532,2713.588798865788
41,1681.8788013448627,2180.3830694782337,2678.887337611605
42,1674.7087278952401,2171.1560192526767,2667.6033106101136
43,1632.2891530799507,2290.8618288864345,2949.434504692919
44,1629.2711156203447,2095.328304192659,2561.3854927649727
45,1623.8251385991498,2121.428413317796,2619.031688036442
46,1615.5468354816098,2040.2743993258737,2465.0019631701375
47,1615.5468354816098,2087.196382137957,2558.845928794304
48,1609.0530769553752,2049.5253897861285,2489.997702616882
49,1607.8181249872193,2126.732349300315,2645.6465736134105
50,1594.0327333278265,2134.1674940394078,2674.3022547509886
51,1592.343066323237,2134.2752722773103,2676.2074782313834
52,1574.0640640587978,2132.1525784785886,2690.2410928983795
53,1574.0640640587978,2187.049647483376,2800.035230907954
54,1545.57406251553,2146.887632548557,2748.2012025815848
55,1539.4231384786967,2202.4386811654667,2865.4542238522367
56,1539.4231384786967,2069.3231921018823,2599.2232457250675
57,1539.4231384786967,2014.6221529313086,2489.8211673839205
58,1539.0118424862649,2107.5784294012933,2676.1450163163217
59,1539.0118424862649,2073.9685386762803,2608.9252348662963
60,1528.3568997958128,2021.8847527143214,2515.41260563283
61,1526.8805393488126,2060.990053436511,2595.0995675242093
62,1515.5869327464375,1972.254831869373,2428.9227309923085
63,1515.5869327464375,2045.0689819046847,2574.551031062932
64,1515.5869327464375,1989.1913566888193,2462.795780631201
65,1509.3279695144017,1881.24699319208,2253.166016869758
66,1497.4811121338432,1923.2157906209372,2348.9504691080315
67,1494.148170713789,2034.9229195859045,2575.69766845802
68,1487.4490604921168,2029.0128745073644,2570.5766885226117
69,1478.6077719476818,1926.4873577530138,2374.3669435583456
70,1478.6077719476818,1926.1480147169746,2373.6882574862675
71,1445.099627933393,1819.6813874699974,2194.2631470066017
72,1441.244765659119,1806.6931169868744,2172.14146831463
73,1441.244765659119,1874.2758467426236,2307.3069278261282
74,1441.244765659119,1754.6513866091316,2068.0580075591442
75,1441.244765659119,1713.9629477578494,1986.68112985658
76,1437.1493324249332,1735.0612845979758,2032.9732367710187
77,1437.1493324249332,1811.576681937518,2186.004031450103
78,1437.1493324249332,1758.8568970025776,2080.564461580222
79,1437.1493324249332,1745.5076031714648,2053.8658739179964
80,1437.1493324249332,1765.1868734750626,2093.224414525192
81,1437.1493324249332,1771.5863215075478,2106.0233105901625
82,1436.5765742580984,1768.8993343395111,2101.222094420924
83,1420.4375803463365,1767.9307070335276,2115.423833720719
84,1411.895970965668,1776.1720367763041,2140.4481025869404
85,1411.895970965668,1736.8845882378987,2061.873205510129
86,1411.866016303314,1726.8579576898578,2041.8498990764017
87,1410.8508105795984,1732.3801776802857,2053.9095447809727
88,1410.8508105795984,1729.6255113698344,2048.40021216007
89,1394.3522590414893,1772.833941555315,2151.315624069141
90,1394.3522590414893,1759.4680468389593,2124.583834636429
91,1393.5734184126193,1865.8007467444072,2338.028075076195
92,1391.0175758196988,1799.0282460001981,2207.0389161806975
93,1388.8977586107221,1794.582301806602,2200.2668450024817
94,1380.419984286288,1589.884630950699,1799.3492776151102
95,1375.9628443485597,1614.0996379550002,1852.236431561441
96,1375.0557402004722,1654.2390506522274,1933.422361103983
97,1369.4010926258497,1634.9876096714886,1900.5741267171275
98,1369.0823361294083,1573.8597561092088,1778.637176089009
99,1355.0438912093775,1603.2907427386965,1851.5375942680155
100,1355.0438912093775,1593.2050169796066,1831.3661427498357
101,1353.3073257073745,1562.2150207060079,1771.1227157046412
102,1346.7757682056179,1551.8546044008604,1756.9334405961026
103,1346.7757682056179,1573.2203731080665,1799.6649780105151
104,1346.7757682056179,1577.1749198334446,1807.5740714612714
